location_id,bottom_left_latitude,bottom_left_longitude,upper_right_latitude,upper_right_longitude
2,29.318572496,60.5284298033,38.4862816432,75.1580277851
3,-17.9306364885,11.6400960629,-4.43802336998,24.0799052263
5,39.624997667,19.3044861183,42.6882473822,21.0200403175
8,22.4969475367,51.5795186705,26.055464179,56.3968473651
9,-55.25,-73.4154357571,-21.8323104794,-53.628348965
10,38.7412014837,43.5827458026,41.2481285671,46.5057198423
12,-90.0,-180.0,-63.2706604895,180.0
14,-49.775,68.72,-48.625,70.56
16,-43.6345972634,113.338953078,-10.6681857235,153.569469029
17,46.4318173285,9.47996951665,49.0390742051,16.9796667823
18,38.2703775091,44.7939896991,41.8606751572,50.3928210793
19,-4.49998341229,29.0249263852,-2.34848683025,30.752262811
20,49.5294835476,2.51357303225,51.4750237087,6.15665815596
21,6.14215770103,0.772335646171,12.2356358912,3.79711225751
22,9.61083486576,-5.47056494793,15.1161577418,2.17710778159
23,20.670883287,88.0844222351,26.4465255803,92.6727209818
24,41.2344859889,22.3805257504,44.2349230007,28.5580814959
27,23.71,-78.98,27.04,-77.0
28,42.65,15.7500260759,45.2337767604,19.59976
30,51.3195034857,23.1994938494,56.1691299506,32.6936430193
31,15.8869375676,-89.2291216703,18.4999822047,-88.1068129138
33,-22.8729187965,-69.5904237535,-9.76198780685,-57.4983711412
34,-33.7683777809,-73.9872354804,5.24448639569,-34.7299934555
36,4.007636827,114.204016555,5.44772980389,115.450710484
37,26.7194029811,88.8142484883,28.2964385035,92.1037117859
38,-26.8285429827,19.8954577979,-17.6618156877,29.4321883481
39,2.2676396753,14.4594071794,11.1423951278,27.3742261085
26,41.6751050889,-140.99778,83.23324,-52.6480987209
40,45.7769477403,6.02260949059,47.8308275417,10.4427014502
41,-55.61183,-75.6443953112,-17.5800118954,-66.95992
42,18.197700914,73.6753792663,53.4588044297,135.026311477
43,4.33828847902,-8.60288021487,10.5240607772,-2.56218950033
44,1.72767263428,8.48881554529,12.8593962671,16.0128524106
45,-13.2572266578,12.1823368669,5.25608775474,31.1741492042
46,-5.03798674888,11.0937728207,3.72819651938,18.4530652198
48,-4.29818694419,-78.9909352282,12.4373031682,-66.8763258531
51,8.22502798099,-85.94172543,11.2171192489,-82.5461962552
52,19.8554808619,-84.9749110583,23.1886107447,-74.1780248685
56,34.5718694118,32.2566671079,35.1731247015,34.0048808123
57,48.5553052842,12.2401111182,51.1172677679,18.8531441586
58,47.3024876979,5.98865807458,54.983104153,15.0169958839
59,10.9268785669,41.66176,12.6996385767,43.3178524107
61,54.8000145534,8.08997684086,57.730016588,12.6900061378
62,17.598564358,-71.9451120673,19.8849105901,-68.3179432848
63,19.0573642034,-8.68439978681,37.1183806422,11.9995056495
64,-4.95912851321,-80.9677654691,1.3809237736,-75.2337227037
65,22.0,24.70007,31.58568,36.86623
66,12.4554157577,36.3231889178,17.9983074,43.0812260272
67,35.946850084,-9.39288367353,43.7483377142,3.03948408368
68,57.4745283067,23.3397953631,59.6110903998,28.1316992531
69,3.42206,32.95418,14.95943,47.78942
70,59.846373196,20.6455928891,70.1641930203,31.5160921567
71,-18.28799,-180.0,-16.0208822567,180.0
72,-52.3,-61.2,-51.1,-57.75
73,2.05338918702,-54.5247541978,51.1485061713,9.56001631027
76,-3.97882659263,8.79799563969,2.32675751384,14.4254557634
77,49.959999905,-7.57216793459,58.6350001085,1.68153079591
78,41.0644446885,39.9550085793,43.553104153,46.6379081561
80,4.71046214438,-3.24437008301,11.0983409693,1.0601216976
81,7.3090373804,-15.1303112452,12.5861829696,-7.83210038902
82,13.1302841252,-16.8415246241,13.8764918075,-13.8449633448
83,11.0404116887,-16.6774519516,12.6281700708,-13.7004760401
84,1.01011953369,9.3056132341,2.28386607504,11.285078973
85,34.9199876979,20.1500159034,41.8269046087,26.6041955909
87,60.03676,-73.297,83.64513,-12.20855
88,13.7353376327,-92.2292486234,17.8193260767,-88.2250227526
90,1.26808828369,-61.4103029039,8.36703481692,-56.5393857489
93,12.9846857772,-89.3533259753,16.0054057886,-83.147219001
94,42.47999136,13.6569755388,46.5037509222,19.3904757016
95,18.0309927434,-74.4580336168,19.9156839055,-71.6248732164
96,45.7594811061,16.2022982113,48.6238540716,22.710531447
97,-10.3599874813,95.2930261576,5.47982086834,141.03385176
99,7.96553477623,68.1766451354,35.4940095078,97.4025614766
102,51.6693012559,-9.97708574059,55.1316222195,-6.03298539878
103,25.0782370061,44.1092252948,39.7130026312,63.3166317076
104,29.0990251735,38.7923405291,37.3852635768,48.5679712258
105,63.4963829617,-24.3261840479,66.5267923041,-13.609732225
106,29.5013261988,34.2654333839,33.2774264593,35.8363969256
107,36.619987291,6.7499552751,47.1153931748,18.4802470232
108,17.7011162379,-78.3377192858,18.5242184514,-76.1996585761
110,29.1974946152,34.9226025734,33.3786864284,39.1954683774
111,31.0295791692,129.408463169,45.5514834662,145.543137242
113,40.6623245306,46.4664457538,55.3852501491,87.3599703308
114,-4.67677,33.8935689697,5.506,41.8550830926
